Nome,Preço,URL
Precision bass,R$ 1.200,https://www.facebook.com/marketplace/item/179029141514582/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Baixo Dean Sledgehammer 4 Bass pra sair esse fim de semana,R$ 1.450,https://www.facebook.com/marketplace/item/761344305254956/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
"Vdo/troco baixo sx jazz Bass, qualidade excelente, timbre top, regulado,cordas baixas, só tocar.",R$ 1.399,https://www.facebook.com/marketplace/item/6421611297862834/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Baixo Modelo Precision Bass P 51 feito por Luthier,R$ 2.500,https://www.facebook.com/marketplace/item/643474780773626/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Baixo Tagima Tw 65,R$ 1.000,https://www.facebook.com/marketplace/item/3285851675047982/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
"Vdo/troco baixo Giannini jazz Bass Sonic X séries, regulado, timbre excelente, pegar e tocar",R$ 700,https://www.facebook.com/marketplace/item/840116593802668/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Contrabaixo 4 Cordas Tagima Tw65 Preto Peça De Mostruário,R$ 1.099,https://www.facebook.com/marketplace/item/886805369098957/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Fender Jazz Bass 60's Mexico - Abaixei! Não aceito trocas!,R$ 5.000,https://www.facebook.com/marketplace/item/698110178377864/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Tagima Jazz Bass 1991 - Captação Japonesa Giannini Stratosonic 1980,R$ 1.650,https://www.facebook.com/marketplace/item/237049225565313/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Cort B5 Troco por Jazz Bass,R$ 2.500,https://www.facebook.com/marketplace/item/810136760404228/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Contrabaixo Rock Bass by Warwick 4 cordas,R$ 2.399,https://www.facebook.com/marketplace/item/534283108836243/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Contrabaixo Precision PHX PBS 4 cordas,R$ 749,https://www.facebook.com/marketplace/item/1149761492299908/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Baixo Telebass Squier by Fender 4c,R$ 2.790,https://www.facebook.com/marketplace/item/1223127131906802/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Contrabaixo Sire Marcus MillerV3,R$ 3.999,https://www.facebook.com/marketplace/item/1149856575692620/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
"contrabaixo sx precision bass, vendo ou troco por baixo de 5 cordas",R$ 1.700,https://www.facebook.com/marketplace/item/742403960929444/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
